YearGrp,name,Teacher_Title,Teacher_FirstName,Teacher_LastName,Teacher_email
6,6BW,Mr,Nameless,Teacher,ccooke@folville.leicester.sch.uk
6,6P,Mrs,Nameless,Teacher,ccooke@folville.leicester.sch.uk
6,6B,Miss,Nameless,Teacher,ccooke@folville.leicester.sch.uk
5,5HD,Ms,Nameless,Teacher,ccooke@folville.leicester.sch.uk
5,5H,Dr,Nameless,Teacher,ccooke@folville.leicester.sch.uk
5,5M,Mr,Nameless,Teacher,ccooke@folville.leicester.sch.uk
4,4P,Mrs,Nameless,Teacher,ccooke@folville.leicester.sch.uk
4,4C,Miss,Nameless,Teacher,ccooke@folville.leicester.sch.uk
4,4H,Ms,Nameless,Teacher,ccooke@folville.leicester.sch.uk
3,3N,Dr,Nameless,Teacher,ccooke@folville.leicester.sch.uk
3,3P,Mr,Nameless,Teacher,ccooke@folville.leicester.sch.uk
3,3SW,Mrs,Nameless,Teacher,ccooke@folville.leicester.sch.uk
